t,y0,y1,y2,error_norm,h
6.6066066066,0.8725185360,0.0000189395,0.1274625245,0.1904146350,0.0515334987
6.7067067067,0.8714472388,0.0000188378,0.1285339233,0.1931598755,0.0526027958
6.8068068068,0.8703873402,0.0000187379,0.1295939219,0.1902591943,0.0526027958
6.9069069069,0.8693385892,0.0000186396,0.1306427712,0.1930024616,0.0536979294
7.0070070070,0.8683007435,0.0000185430,0.1316807135,0.1958294986,0.0548198570
7.1071071071,0.8672735682,0.0000184480,0.1327079838,0.1899133008,0.0548198570
7.2072072072,0.8662568362,0.0000183546,0.1337248092,0.1926578138,0.0559695349
7.3073073073,0.8652503276,0.0000182625,0.1347314098,0.1954885293,0.0571479233
7.4074074074,0.8642538293,0.0000181719,0.1357279988,0.1924736899,0.0571479233
7.5075075075,0.8632671347,0.0000180828,0.1367147825,0.1953079451,0.0583559904
7.6076076076,0.8622900436,0.0000179951,0.1376919612,0.1976388785,0.0595264738
7.7077077077,0.8613223623,0.0000179087,0.1386597291,0.1945454668,0.0595264738
7.8078078078,0.8603639023,0.0000178235,0.1396182742,0.1969835851,0.0607385116
7.9079079079,0.8594144810,0.0000177398,0.1405677792,0.1908796431,0.0607385116
8.0080080080,0.8584739214,0.0000176572,0.1415084214,0.1964177398,0.0619912157
8.1081081081,0.8575420514,0.0000175759,0.1424403728,0.1903147886,0.0619912157
8.2082082082,0.8566187039,0.0000174958,0.1433638003,0.1928313418,0.0632841036
8.3083083083,0.8557037169,0.0000174167,0.1442788665,0.1898154169,0.0632841036
8.4084084084,0.8547969324,0.0000173389,0.1451857287,0.1923871220,0.0646170155
8.5085085085,0.8538981977,0.0000172620,0.1460845403,0.1976598420,0.0659126895
8.6086086086,0.8530073634,0.0000171865,0.1469754501,0.1914191760,0.0659126895
8.7087087087,0.8521242851,0.0000171118,0.1478586031,0.1968221879,0.0672599207
8.8088088088,0.8512488218,0.0000170383,0.1487341399,0.1905960952,0.0672599207
8.9089089089,0.8503808367,0.0000169656,0.1496021977,0.1961062175,0.0686570967
9.0090090090,0.8495201962,0.0000168941,0.1504629097,0.1898875292,0.0686570967
9.1091091091,0.8486667708,0.0000168233,0.1513164058,0.1954866550,0.0701031648
9.2092092092,0.8478204340,0.0000167538,0.1521628122,0.1975653843,0.0715120694
9.3093093093,0.8469810631,0.0000166849,0.1530022520,0.1943574980,0.0715120694
9.4094094094,0.8461485380,0.0000166170,0.1538348450,0.1912263978,0.0715120694
9.5095095095,0.8453227420,0.0000165501,0.1546607078,0.1934042866,0.0729812189
9.6096096096,0.8445035617,0.0000164839,0.1554799544,0.1902828749,0.0729812189
9.7097097097,0.8436908859,0.0000164186,0.1562926955,0.1925908925,0.0745084078
9.8098098098,0.8428846066,0.0000163542,0.1570990392,0.1977373216,0.0760000475
9.9099099099,0.8420846186,0.0000162905,0.1578990909,0.1944872316,0.0760000475
10.0100100100,0.8412908190,0.0000162276,0.1586929534,0.1913145434,0.0760000475
10.1101101101,0.8405031075,0.0000161656,0.1594807268,0.1933988404,0.0775603187
10.2102102102,0.8397213865,0.0000161042,0.1602625092,0.1902390719,0.0775603187
10.3103103103,0.8389455605,0.0000160436,0.1610383959,0.1957026654,0.0791862962
10.4104104104,0.8381755361,0.0000159839,0.1618084800,0.1975969394,0.0807768021
10.5105105105,0.8374112226,0.0000159247,0.1625728527,0.1943122738,0.0807768021
10.6106106106,0.8366525312,0.0000158662,0.1633316026,0.1911054648,0.0807768021
10.7107107107,0.8358993751,0.0000158084,0.1640848165,0.1964144708,0.0824434951
10.8108108108,0.8351516695,0.0000157514,0.1648325791,0.1899531270,0.0824434951
10.9109109109,0.8344093317,0.0000156951,0.1655749732,0.1954153748,0.0841829556
11.0110110110,0.8336722810,0.0000156392,0.1663120798,0.1921566418,0.0841829556
11.1111111111,0.8329404381,0.0000155840,0.1670439779,0.1972826992,0.0858860950
11.2112112112,0.8322137259,0.0000155295,0.1677707447,0.1939676306,0.0858860950
11.3113113113,0.8314920687,0.0000154756,0.1684924557,0.1907308339,0.0858860950
11.4114114114,0.8307753927,0.0000154224,0.1692091849,0.1927526161,0.0876727509
11.5115115115,0.8300636257,0.0000153697,0.1699210046,0.1977631255,0.0894270782
11.6116116116,0.8293566971,0.0000153176,0.1706279853,0.1944122097,0.0894270782
11.7117117117,0.8286545377,0.0000152660,0.1713301963,0.1911403570,0.0894270782
11.8118118118,0.8279570799,0.0000152149,0.1720277052,0.1963728166,0.0912740320
11.9119119119,0.8272642574,0.0000151644,0.1727205781,0.1930423891,0.0912740320
12.0120120120,0.8265760056,0.0000151145,0.1734088799,0.1897902778,0.0912740320
12.1121121121,0.8258922608,0.0000150651,0.1740926741,0.1952039133,0.0932088330
12.2122122122,0.8252129611,0.0000150162,0.1747720226,0.1918882831,0.0932088330
12.3123123123,0.8245380457,0.0000149679,0.1754469864,0.1969822294,0.0951075407
12.4124124124,0.8238674550,0.0000149201,0.1761176250,0.1936127065,0.0951075407
12.5125125125,0.8232011306,0.0000148727,0.1767839967,0.1956295703,0.0971046657
12.6126126126,0.8225390154,0.0000148259,0.1774461587,0.1922795332,0.0971046657
12.7127127127,0.8218810536,0.0000147795,0.1781041670,0.1972874395,0.0990689983
12.8128128128,0.8212271900,0.0000147335,0.1787580764,0.1938865953,0.0990689983
12.9129129129,0.8205773711,0.0000146881,0.1794079408,0.1905657385,0.0990689983
13.0130130130,0.8199315441,0.0000146430,0.1800538128,0.1958084238,0.1011409936
13.1131131131,0.8192896574,0.0000145984,0.1806957442,0.1924302755,0.1011409936
