t,m,p,error_norm,h
2.5806451613,0.4054528669,9.2072011228,0.0553269062,0.2500000000
2.6406601650,0.4010776334,9.1098265733,0.0585669129,0.2500000000
2.7006751688,0.3967721009,9.0136715480,0.0585669129,0.2500000000
2.7606901725,0.3925356784,8.9187207752,0.0585669129,0.2500000000
2.8207051763,0.3883677861,8.8249591726,0.0585669129,0.2500000000
2.8807201800,0.3842678559,8.7323718458,0.0621556168,0.2500000000
2.9407351838,0.3802353306,8.6409440876,0.0621556168,0.2500000000
3.0007501875,0.3762696648,8.5506613771,0.0621556168,0.2500000000
3.0607651913,0.3723703239,8.4615093737,0.0621556168,0.2500000000
3.1207801950,0.3685367845,8.3734739155,0.0621556168,0.2500000000
3.1807951988,0.3647685336,8.2865410180,0.0661067398,0.2500000000
3.2408102026,0.3610650696,8.2006968739,0.0661067398,0.2500000000
3.3008252063,0.3574259012,8.1159278482,0.0661067398,0.2500000000
3.3608402101,0.3538505476,8.0322204750,0.0661067398,0.2500000000
3.4208552138,0.3503385384,7.9495614575,0.0704292463,0.2500000000
3.4808702176,0.3468894136,7.8679376668,0.0704292463,0.2500000000
3.5408852213,0.3435027233,7.7873361385,0.0704292463,0.2500000000
3.6009002251,0.3401780278,7.7077440689,0.0704292463,0.2500000000
3.6609152288,0.3369148970,7.6291488147,0.0751261599,0.2500000000
3.7209302326,0.3337129108,7.5515378922,0.0751261599,0.2500000000
3.7809452363,0.3305716589,7.4748989747,0.0751261599,0.2500000000
3.8409602401,0.3274907405,7.3992198881,0.0751261599,0.2500000000
3.9009752438,0.3244697640,7.3244886107,0.0024139125,0.1251561303
3.9609902476,0.3215083475,7.2506932726,0.0024139125,0.1251561303
4.0210052513,0.3186061194,7.1777819383,0.0143313103,0.2129006162
4.0810202551,0.3157627962,7.1052753110,0.0143313103,0.2129006162
4.1410352588,0.3129782225,7.0330530326,0.0143313103,0.2129006162
4.2010502626,0.3102522665,6.9611346560,0.0143313103,0.2129006162
4.2610652663,0.3075848112,6.8895386188,0.0175291790,0.2129006162
4.3210802701,0.3049757542,6.8182823028,0.0175291790,0.2129006162
4.3810952738,0.3024250079,6.7473820851,0.0175291790,0.2129006162
4.4411102776,0.2999325000,6.6768533718,0.0393890361,0.2403231895
4.5011252813,0.2974981729,6.6067106326,0.0393890361,0.2403231895
4.5611402851,0.2951219846,6.5369674439,0.0393890361,0.2403231895
4.6211552888,0.2928039087,6.4676365435,0.0393890361,0.2403231895
4.6811702926,0.2905439340,6.3987298443,0.0549063594,0.2461424762
4.7411852963,0.2883420653,6.3302584715,0.0549063594,0.2461424762
4.8012003001,0.2861983232,6.2622328001,0.0549063594,0.2461424762
4.8612153038,0.2841127448,6.1946625007,0.0549063594,0.2461424762
4.9212303076,0.2820853829,6.1275565519,0.0725032477,0.2500000000
4.9812453113,0.2801163068,6.0609232688,0.0725032477,0.2500000000
5.0412603151,0.2782056025,5.9947703383,0.0725032477,0.2500000000
5.1012753188,0.2763533729,5.9291048569,0.0725032477,0.2500000000
5.1612903226,0.2745597375,5.8639333436,0.0725032477,0.2500000000
5.2213053263,0.2728248329,5.7992617592,0.0873500557,0.2500000000
5.2813203301,0.2711488129,5.7350955419,0.0873500557,0.2500000000
5.3413353338,0.2695318490,5.6714396339,0.0873500557,0.2500000000
5.4013503376,0.2679741301,5.6082984996,0.0873500557,0.2500000000
5.4613653413,0.2664758625,5.5456761354,0.1037625956,0.2500000000
5.5213803451,0.2650372710,5.4835761035,0.1037625956,0.2500000000
5.5813953488,0.2636585982,5.4220015524,0.1037625956,0.2500000000
5.6414103526,0.2623401051,5.3609552356,0.1037625956,0.2500000000
5.7014253563,0.2610820710,5.3004395176,0.1217298993,0.2500000000
5.7614403601,0.2598847938,5.2404564030,0.1217298993,0.2500000000
5.8214553638,0.2587485905,5.1810075525,0.1217298993,0.2500000000
5.8814703676,0.2576737970,5.1220943024,0.1217298993,0.2500000000
5.9414853713,0.2566607681,5.0637176682,0.1412086727,0.2500000000
6.0015003751,0.2557098780,5.0058783674,0.1412086727,0.2500000000
6.0615153788,0.2548215208,4.9485768343,0.1412086727,0.2500000000
6.1215303826,0.2539961101,4.8918132377,0.1412086727,0.2500000000
6.1815453863,0.2532340792,4.8355874839,0.1621078931,0.2500000000
6.2415603901,0.2525358813,4.7798992340,0.1621078931,0.2500000000
6.3015753938,0.2519019904,4.7247479178,0.1621078931,0.2500000000
6.3615903976,0.2513329006,4.6701327488,0.1621078931,0.2500000000
6.4216054014,0.2508291264,4.6160527282,0.1842776992,0.2500000000
6.4816204051,0.2503912030,4.5625066564,0.1842776992,0.2500000000
6.5416354089,0.2500196867,4.5094931470,0.1842776992,0.2500000000
6.6016504126,0.2497151550,4.4570106386,0.1842776992,0.2500000000
6.6616654164,0.2494782062,4.4050574001,0.1842776992,0.2500000000
6.7216804201,0.2493094597,4.3536315374,0.2075031831,0.2500000000
6.7816954239,0.2492095571,4.3027310073,0.2075031831,0.2500000000
6.8417104276,0.2491791614,4.2523536268,0.2075031831,0.2500000000
6.9017254314,0.2492189570,4.2024970784,0.2075031831,0.2500000000
6.9617404351,0.2493296503,4.1531589144,0.2076823661,0.2449271188
7.0217554389,0.2495119698,4.1043365701,0.2076823661,0.2449271188
7.0817704426,0.2497666663,4.0560273698,0.2076823661,0.2449271188
7.1417854464,0.2500945126,4.0082285336,0.2076823661,0.2449271188
7.2018004501,0.2504963033,3.9609371795,0.2280745102,0.2449271188
7.2618154539,0.2509728562,3.9141503345,0.2280745102,0.2449271188
7.3218304576,0.2515250112,3.8678649403,0.2280745102,0.2449271188
7.3818454614,0.2521536307,3.8220778587,0.2280745102,0.2449271188
