t,y0,y1,y2,error_norm,h
0.6500650065,-6.1227483033,-8.2161066086,25.4437757947,0.1278998374,0.0047374837
0.6600660066,-6.3258178572,-8.2979055733,25.2814422191,0.1336670614,0.0049643363
0.6700670067,-6.5180305376,-8.3936125111,25.1451023482,0.1324586349,0.0050883666
0.6800680068,-6.7016697757,-8.5016935107,25.0344703400,0.1237078841,0.0050883666
0.6900690069,-6.8786513936,-8.6205269255,24.9493830981,0.1224779377,0.0052197739
0.7000700070,-7.0505505469,-8.7484090486,24.8897530803,0.1215268790,0.0053583813
0.7100710071,-7.2186264752,-8.8835565981,24.8555251114,0.1210488124,0.0055034311
0.7200720072,-7.3838450475,-9.0241076715,24.8466360140,0.1213130521,0.0056532519
0.7300730073,-7.5468992382,-9.1681226430,24.8629761670,0.1226594352,0.0058048535
0.7400740074,-7.7082277940,-9.3135863324,24.9043524055,0.1318765376,0.0059535998
0.7500750075,-7.8680324365,-9.4584126629,24.9704519899,0.1349010578,0.0060933024
0.7600760076,-8.0262940390,-9.6004529055,25.0608076761,0.1393197775,0.0062171839
0.7700770077,-8.1827882671,-9.7375084814,25.1747642271,0.1359228586,0.0062171839
0.7800780078,-8.3371011918,-9.8673491223,25.3114470217,0.1317501881,0.0062171839
0.7900790079,-8.4886454364,-9.9877369675,25.4697336918,0.1306678486,0.0062171839
0.8000800080,-8.6366773840,-10.0964569178,25.6482299693,0.1297724195,0.0062171839
0.8100810081,-8.7803159257,-10.1913531874,25.8452511401,0.1296863686,0.0062171839
0.8200820082,-8.9185632030,-10.2703716299,26.0588106133,0.1296630358,0.0062171839
0.8300830083,-9.0503276382,-10.3316069225,26.2866171383,0.1292296713,0.0062171839
0.8400840084,-9.1744494442,-10.3733532041,26.5260821033,0.1287109231,0.0062171839
0.8500850085,-9.2897286294,-10.3941563069,26.7743381047,0.1269971513,0.0062171839
0.8600860086,-9.3949552758,-10.3928652187,27.0282695449,0.1246817315,0.0062171839
0.8700870087,-9.4889417033,-10.3686801268,27.2845555107,0.1368308270,0.0063448054
0.8800880088,-9.5705558587,-10.3211941519,27.5397244598,0.1353648713,0.0063448054
0.8900890089,-9.6387550703,-10.2504258855,27.7902194773,0.1356847949,0.0063448054
0.9000900090,-9.6926191470,-10.1568400825,28.0324721366,0.1396739188,0.0063448054
0.9100910091,-9.7313816153,-10.0413543092,28.2629821219,0.1490879887,0.0063448054
0.9200920092,-9.7544578883,-9.9053300626,28.4783993282,0.1558037058,0.0063448054
0.9300930093,-9.7614691197,-9.7505477675,28.6756045769,0.1722918519,0.0063448054
0.9400940094,-9.7522606445,-9.5791660774,28.8517850733,0.1814681764,0.0063448054
0.9500950095,-9.7269140874,-9.3936669264,29.0045008437,0.1999828874,0.0063448054
0.9600960096,-9.6857524955,-9.1967888195,29.1317388416,0.2086505571,0.0063448054
0.9700970097,-9.6293381896,-8.9914515407,29.2319522419,0.2233378362,0.0063448054
0.9800980098,-9.5584633982,-8.7806761494,29.3040832816,0.2330057893,0.0063448054
0.9900990099,-9.4741340966,-8.5675042286,29.3475691835,0.2355741570,0.0063448054
1.0001000100,-9.3775478269,-8.3549203775,29.3623316708,0.2358337500,0.0063448054
1.0101010101,-9.2700665586,-8.1457814832,29.3487516375,0.2335245074,0.0063448054
1.0201020102,-9.1531858376,-7.9427556588,29.3076312581,0.2243298326,0.0063448054
1.0301030103,-9.0285016340,-7.7482729742,29.2401464433,0.2098153168,0.0063448054
1.0401040104,-8.8976762562,-7.5644891036,29.1477927518,0.2009431363,0.0063448054
1.0501050105,-8.7624047099,-7.3932622383,29.0323279558,0.1808448897,0.0063448054
1.0601060106,-8.6243826695,-7.2361426881,28.8957141857,0.1699805940,0.0063448054
1.0701070107,-8.4852770838,-7.0943740339,28.7400622111,0.1474938108,0.0063448054
1.0801080108,-8.3467001826,-6.9689041292,28.5675799144,0.1361906444,0.0063448054
1.0901090109,-8.2101873947,-6.8604040083,28.3805264004,0.1263309230,0.0064771224
1.1001100110,-8.0771794760,-6.7692926062,28.1811727028,0.1305085616,0.0066491178
1.1101110111,-7.9490088770,-6.6957652495,27.9717694377,0.1228858309,0.0068639051
1.1201120112,-7.8268902369,-6.6398240277,27.7545214220,0.1088411980,0.0068639051
1.1301130113,-7.7119146835,-6.6013083930,27.5315688277,0.1012176879,0.0071256233
1.1401140114,-7.6050475532,-6.5799246164,27.3049743009,0.1095718511,0.0074372438
1.1501150115,-7.5071290257,-6.5752730486,27.0767152216,0.1091672905,0.0078411488
1.1601160116,-7.4188771527,-6.5868723873,26.8486802810,0.1105399647,0.0080412063
1.1701170117,-7.3408927487,-6.6141804673,26.6226695026,0.1157701798,0.0082512246
1.1801180118,-7.2736656085,-6.6566112834,26.4003968576,0.1228464230,0.0084205203
1.1901190119,-7.2175815677,-6.7135481548,26.1834947130,0.1227441534,0.0084205203
1.2001200120,-7.1729299592,-6.7843530969,25.9735194112,0.1471337644,0.0085954837
1.2101210121,-7.1399110784,-6.8683725678,25.7719573702,0.1555506187,0.0085954837
1.2201220122,-7.1186433154,-6.9649398350,25.5802311652,0.1644817448,0.0085954837
1.2301230123,-7.1091696837,-7.0733742630,25.3997051344,0.1733818704,0.0085954837
1.2401240124,-7.1114635232,-7.1929778534,25.2316901089,0.1819669802,0.0085954837
1.2501250125,-7.1254332128,-7.3230293876,25.0774469189,0.1901701003,0.0085954837
1.2601260126,-7.1509257761,-7.4627765396,24.9381883630,0.2057974562,0.0085954837
